0.350000 1.000000 3.650000 0.435593 0.420624 0.605564 0.480520 96
0.350000 1.000000 3.700000 0.435593 0.420624 0.605564 0.480520 96
0.350000 1.000000 3.750000 0.435593 0.420624 0.605564 0.480520 96
0.350000 1.000000 3.800000 0.435593 0.420624 0.605564 0.480520 96
0.350000 1.000000 3.850000 0.435593 0.420624 0.605564 0.480520 96
0.350000 1.000000 3.900000 0.435593 0.420624 0.605564 0.480520 96
0.350000 1.000000 3.950000 0.435593 0.420624 0.605564 0.480520 96
0.350000 1.000000 4.000000 0.435593 0.420624 0.605564 0.480520 96
0.350000 1.000000 4.050000 0.435593 0.420624 0.605564 0.480520 96
0.350000 1.000000 4.100000 0.435593 0.420624 0.605564 0.480520 96
0.350000 1.000000 4.150000 0.435593 0.420624 0.605564 0.480520 96
0.350000 1.000000 4.200000 0.435593 0.420624 0.605564 0.480520 96
0.350000 1.000000 4.250000 0.435593 0.420624 0.605564 0.480520 96
0.350000 1.000000 4.300000 0.435593 0.420624 0.605564 0.480520 96
0.350000 1.000000 4.350000 0.435593 0.420624 0.605564 0.480520 96
0.350000 1.000000 4.400000 0.435593 0.420624 0.605564 0.480520 96
0.350000 1.000000 4.450000 0.435593 0.420624 0.605564 0.480520 96
0.350000 1.000000 4.500000 0.435593 0.420624 0.605564 0.480520 96
0.350000 1.000000 4.550000 0.435593 0.420624 0.605564 0.480520 96
0.350000 1.000000 4.600000 0.435593 0.420624 0.605564 0.480520 96
0.350000 1.000000 4.650000 0.435593 0.420624 0.605564 0.480520 96
0.350000 1.000000 4.700000 0.435593 0.420624 0.605564 0.480520 96
0.350000 1.000000 4.750000 0.435593 0.420624 0.605564 0.480520 96
0.350000 1.000000 4.800000 0.435593 0.420624 0.605564 0.480520 96
0.350000 1.000000 4.850000 0.435593 0.420624 0.605564 0.480520 96
0.350000 1.000000 4.900000 0.435593 0.420624 0.605564 0.480520 96
0.350000 1.000000 4.950000 0.435593 0.420624 0.605564 0.480520 96
0.350000 1.000000 5.000000 0.435593 0.420624 0.605564 0.480520 96
